City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Kapaa,US,85.98,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Atuona,PF,76.87,few clouds,-9.8,-139.0333,Villa Enata
16,Jamestown,US,78.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Itoman,JP,78.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
27,Wadi Maliz,TN,82.06,scattered clouds,36.4681,8.5495,Heremony
29,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
30,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Albany,US,81.01,overcast clouds,42.6001,-73.9662,
36,Trebinje,BA,80.94,clear sky,42.7119,18.3442,Hotel Aćimović
46,Alta Floresta,BR,82.22,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
54,Sturgeon Bay,US,82.38,broken clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
59,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
63,Do Gonbadan,IR,80.69,broken clouds,30.3586,50.7981,مسافرخانه شادی
64,Georgetown,MY,80.89,thunderstorm,5.4112,100.3354,Cititel Penang
71,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
74,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
77,Fare,PF,78.55,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
82,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
86,Grand-Lahou,CI,75.27,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
87,Biak,ID,76.1,overcast clouds,-0.9131,122.8766,Penginapan Kim
90,Bethel,US,83.35,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
93,Katsuura,JP,84.56,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
96,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
97,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
