City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-30 10:25:15,-23.1203,-134.9692,72.39,75,37,16.55
1,Mar Del Plata,AR,2022-07-30 10:14:51,-38.0023,-57.5575,47.88,78,0,3.0
2,Hobart,AU,2022-07-30 10:25:16,-42.8794,147.3294,44.06,79,75,4.61
3,Grindavik,IS,2022-07-30 10:18:28,63.8424,-22.4338,50.47,71,75,11.5
4,Korla,CN,2022-07-30 10:25:16,41.7597,86.1469,91.11,21,94,14.32
5,Hambantota,LK,2022-07-30 10:23:02,6.1241,81.1185,83.64,71,93,19.08
6,Srednekolymsk,RU,2022-07-30 10:23:03,67.45,153.6833,63.84,43,79,4.29
7,Busselton,AU,2022-07-30 10:25:17,-33.65,115.3333,51.89,62,96,10.78
8,Nikolskoye,RU,2022-07-30 10:17:12,59.7035,30.7861,66.09,81,93,9.1
9,Castro,BR,2022-07-30 10:15:47,-24.7911,-50.0119,37.92,91,0,1.79
10,Puerto Baquerizo Moreno,EC,2022-07-30 10:23:04,-0.9,-89.6,69.03,84,88,12.03
11,Hammerfest,NO,2022-07-30 10:23:04,70.6634,23.6821,64.85,52,0,4.61
12,Yulara,AU,2022-07-30 10:19:43,-25.2406,130.9889,63.99,21,100,8.72
13,Hokitika,NZ,2022-07-30 10:23:05,-42.7167,170.9667,40.53,92,100,7.52
14,Albany,US,2022-07-30 10:22:38,42.6001,-73.9662,64.81,91,45,4.81
15,Tasiilaq,GL,2022-07-30 10:17:04,65.6145,-37.6368,42.96,63,10,3.76
16,Jamestown,US,2022-07-30 10:21:02,42.097,-79.2353,63.99,75,0,5.75
17,Sobolevo,RU,2022-07-30 10:23:06,54.4299,31.8996,67.96,53,86,3.87
18,Hithadhoo,MV,2022-07-30 10:18:24,-0.6,73.0833,80.58,79,100,16.15
19,Saldanha,ZA,2022-07-30 10:25:20,-33.0117,17.9442,57.25,64,20,8.01
20,Teguise,ES,2022-07-30 10:23:07,29.0605,-13.564,75.42,65,20,26.46
21,Bengkulu,ID,2022-07-30 10:19:50,-3.8004,102.2655,82.27,76,63,8.72
22,Airai,TL,2022-07-30 10:15:42,-8.9266,125.4092,59.97,89,94,2.84
23,Bereda,ES,2022-07-30 10:23:08,43.2686,-7.5406,76.41,75,23,7.63
24,Cabo San Lucas,MX,2022-07-30 10:21:31,22.8909,-109.9124,81.61,67,58,5.79
25,Thompson,CA,2022-07-30 10:19:37,55.7435,-97.8558,46.56,93,20,6.91
26,Luderitz,NA,2022-07-30 10:18:31,-26.6481,15.1594,62.11,62,32,16.62
27,Port Lincoln,AU,2022-07-30 10:15:50,-34.7333,135.8667,54.66,71,100,28.68
28,Iwanai,JP,2022-07-30 10:23:09,42.9744,140.5089,69.91,93,1,1.19
29,Punta Arenas,CL,2022-07-30 10:15:49,-53.15,-70.9167,41.11,75,40,24.16
30,Butaritari,KI,2022-07-30 10:25:22,3.0707,172.7902,82.51,72,86,14.97
31,Kodiak,US,2022-07-30 10:25:22,57.79,-152.4072,54.91,94,100,6.91
32,Ushuaia,AR,2022-07-30 10:25:23,-54.8,-68.3,40.66,75,75,26.46
33,Mataura,NZ,2022-07-30 10:15:51,-46.1927,168.8643,37.47,99,100,1.7
34,Seydi,TM,2022-07-30 10:23:10,39.4816,62.9137,99.77,20,0,12.08
35,Sigli,ID,2022-07-30 10:23:11,5.3848,95.9609,81.61,73,100,5.93
36,Havre,FR,2022-07-30 10:23:11,49.5833,0.3333,81.19,73,20,10.36
37,Trincomalee,LK,2022-07-30 10:23:12,8.5711,81.2335,85.96,65,94,6.6
38,New Norfolk,AU,2022-07-30 10:25:24,-42.7826,147.0587,43.72,74,30,3.13
39,Cayenne,GF,2022-07-30 10:23:12,4.9333,-52.3333,76.08,1,100,1.14
40,Todos Santos,MX,2022-07-30 10:23:13,23.45,-110.2167,75.65,66,48,2.93
41,Kahului,US,2022-07-30 10:14:33,20.8947,-156.47,78.82,61,75,9.22
42,Jaisinghnagar,IN,2022-07-30 10:23:13,23.7,81.3833,88.99,59,82,7.07
43,Dingle,PH,2022-07-30 10:23:14,10.9995,122.6711,79.12,86,100,6.17
44,Pokhara,NP,2022-07-30 10:21:02,28.2333,83.9833,80.37,79,66,3.56
45,Lebu,CL,2022-07-30 10:15:54,-37.6167,-73.65,46.54,81,100,11.45
46,Khatanga,RU,2022-07-30 10:18:19,71.9667,102.5,72.19,53,50,5.19
47,Aklavik,CA,2022-07-30 10:23:15,68.2191,-135.0107,39.43,96,100,1.95
48,Karoi,ZW,2022-07-30 10:23:15,-16.8099,29.6925,72.18,20,4,5.26
49,Atuona,PF,2022-07-30 10:26:27,-9.8,-139.0333,76.69,73,0,15.03
50,Ilulissat,GL,2022-07-30 10:18:22,69.2167,-51.1,46.42,93,75,3.44
51,Necochea,AR,2022-07-30 10:26:27,-38.5473,-58.7368,45.54,70,100,4.65
52,Cherskiy,RU,2022-07-30 10:19:54,68.75,161.3,59.7,47,18,9.31
53,Bambous Virieux,MU,2022-07-30 10:17:16,-20.3428,57.7575,75.45,69,40,17.27
54,Sao Filipe,CV,2022-07-30 10:26:28,14.8961,-24.4956,77.38,78,100,9.66
55,Hermanus,ZA,2022-07-30 10:26:29,-34.4187,19.2345,55.8,60,7,17.09
56,Renqiu,CN,2022-07-30 10:26:29,38.6989,116.0936,86.41,67,79,4.25
57,Saint-Philippe,RE,2022-07-30 10:18:23,-21.3585,55.7679,78.39,72,47,14.5
58,Tomatlan,MX,2022-07-30 10:19:48,19.9333,-105.25,72.18,90,100,4.09
59,Pevek,RU,2022-07-30 10:19:51,69.7008,170.3133,46.29,66,49,7.34
60,Nauta,PE,2022-07-30 10:26:31,-4.5061,-73.5757,70.81,93,24,2.37
